Elongation,? (MPa)
1,0
1.006,0.009
1.012,0.009
1.018,0.009
1.023,0.011364
1.029,0.009
1.035,0.011364
1.041,0.011364
1.047,0.011
1.053,0.011
1.059,0.017045
1.064,0.017
1.07,0.023
1.076,0.023
1.082,0.028409
1.088,0.028
1.094,0.031
1.1,0.034
1.105,0.039773
1.111,0.039773
1.117,0.045455
1.123,0.045
1.129,0.051
1.135,0.051
1.14,0.054
1.146,0.056818
1.152,0.06
1.158,0.06
1.164,0.068182
1.17,0.073864
1.175,0.073864
1.181,0.079545
1.187,0.085227
1.193,0.09
1.199,0.096
1.205,0.102273
1.21,0.104
1.216,0.113636
1.222,0.118
1.228,0.125
1.234,0.128
1.24,0.136364
1.245,0.142045
1.251,0.153409
1.257,0.153409
1.263,0.156
1.269,0.168
1.275,0.17
1.28,0.173
1.286,0.181818
1.292,0.181818
1.298,0.193182
1.304,0.2
1.31,0.214
1.315,0.215909
1.321,0.227273
1.327,0.238636
1.333,0.248
1.339,0.261364
1.345,0.261364
1.35,0.278409
1.356,0.284091
1.362,0.293
1.368,0.306818
1.374,0.31
1.38,0.323864
1.385,0.33
1.391,0.340909
1.397,0.355
1.403,0.366
1.409,0.380682
1.414,0.386
1.42,0.397727
1.426,0.418
1.432,0.426136
1.438,0.44
1.444,0.454545
1.449,0.465909
1.455,0.482
1.461,0.5
1.467,0.505682
1.473,0.527
1.479,0.539773
1.484,0.551136
1.49,0.565
1.496,0.585227
1.502,0.602
1.508,0.619318
1.514,0.631
1.519,0.647727
1.525,0.653409
1.531,0.668
1.537,0.682
1.542,0.704545
1.548,0.715909
1.554,0.738636
1.56,0.75
1.566,0.761364
1.572,0.78
1.577,0.792
1.583,0.808
1.589,0.818182
1.595,0.835227
1.601,0.855
1.606,0.886364
