Elongation,True Stress (Mpa)
1,0
1.004,0.057668
1.009,0.074216
1.014,0.09343
1.019,0.115363
1.024,0.140469
1.029,0.169216
1.034,0.201226
1.039,0.235255
1.044,0.274779
1.049,0.317704
1.054,0.363639
1.059,0.413934
1.064,0.467764
1.069,0.526058
1.075,0.602744
1.08,0.670252
1.085,0.741429
1.09,0.819151
1.095,0.902079
1.1,0.989366
1.104,1.061837
1.109,1.160116
1.114,1.261079
1.119,1.3666
1.123,1.447654
1.13,1.617668
1.134,1.716629
1.139,1.842785
1.143,1.948125
1.149,2.106292
1.154,2.241134
1.159,2.383953
1.163,2.496708
1.169,2.699768
1.174,2.835308
1.179,2.98328
1.183,2.738446
1.189,2.9735
1.194,3.060706
1.199,3.223116
1.203,3.371446
1.209,3.553178
1.214,3.728899
1.219,3.868617
1.225,4.101185
1.227,4.203845
1.234,4.42108
1.24,4.627499
1.244,4.764221
1.25,4.969484
1.255,5.123123
1.258,5.236088
1.265,5.406426
1.269,5.519983
1.274,5.631207
